name,ra,dec,mag
Sirius,6.7525,-16.7161,-1.46
Canopus,6.3992,-52.6957,-0.72
Arcturus,14.2610,19.1824,-0.04
Alpha Centauri,14.6601,-60.8339,-0.27
Vega,18.6157,38.7837,0.03
Capella,5.2783,46.0007,0.08
Rigel,5.2425,-8.2016,0.13
Procyon,7.6549,5.2250,0.34
Achernar,1.6286,-57.2367,0.46
Betelgeuse,5.9195,7.4071,0.42
Hadar,14.0637,-60.3730,0.61
Altair,19.8464,8.8683,0.77
Acrux,12.4433,-63.0991,0.76
Aldebaran,4.5987,16.5093,0.85
Antares,16.4901,-26.4320,1.09
Spica,13.4199,-11.1613,0.98
Pollux,7.7553,28.0262,1.14
Fomalhaut,22.9608,-29.6222,1.16
Deneb,20.6905,45.2803,1.25
Mimosa,12.7953,-59.6888,1.25
Regulus,10.1395,11.9672,1.35
Adhara,6.9771,-28.9721,1.50
Shaula,17.5601,-37.1038,1.62
Castor,7.5767,31.8883,1.58
Gacrux,12.5194,-57.1132,1.63
Bellatrix,5.4189,6.3497,1.64
Elnath,5.4382,28.6075,1.65
Miaplacidus,9.2203,-69.7172,1.67
Alnilam,5.6036,-1.2019,1.69
Alnair,22.1372,-46.9600,1.74
Alioth,12.9004,55.9598,1.76
Alnitak,5.6793,-1.9426,1.77
Dubhe,11.0621,61.7508,1.79
Mirfak,3.4054,49.8611,1.79
Wezen,7.1399,-26.3932,1.83
Sargas,17.6219,-42.9978,1.86
Kaus Australis,18.4029,-34.3846,1.79
Avior,8.3752,-59.5095,1.86
Alkaid,13.7923,49.3133,1.85
Menkent,14.1114,-36.3700,2.06
Atria,16.8111,-69.0277,1.91
Alhena,6.6285,16.3992,1.93
Peacock,20.4275,-56.7351,1.94
Alsephina,7.1399,-26.3932,1.98
